"","Age","education_level","Province","cps19_votechoice"
"715",64,"High School","Quebec",1
"716",56,"High School","Manitoba",0
"717",40,"High School","New Brunswick",1
"718",26,"At or above Bachelor","Ontario",1
"719",46,"At or above Bachelor","Manitoba",0
"720",57,"High School","Ontario",1
"721",59,"High School","Manitoba",1
"722",65,"Below high school","Ontario",1
"723",66,"At or above Bachelor","Ontario",0
"724",72,"College","Quebec",1
"725",74,"At or above Bachelor","Ontario",1
"726",63,"College","Quebec",0
"727",39,"High School","Quebec",1
"728",64,"At or above Bachelor","Alberta",0
"729",52,"College","Ontario",1
"730",60,"At or above Bachelor","Ontario",1
"731",43,"At or above Bachelor","Alberta",0
